<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.07.10	19:45:00	4102.52	4108.98	4102.23	4108.46	2176	0	15
2026.07.10	20:00:00	4108.38	4114.97	4108.12	4111.97	1392	0	15
2026.07.10	20:15:00	4111.94	4112.62	4110.44	4111.17	1027	0	58
2026.07.10	20:30:00	4111.16	4112.48	4110.32	4111.61	943	0	34
2026.07.12	22:00:00	4090.29	4093.38	4080.49	4081.31	1224	0	58
2026.07.12	22:15:00	4081.31	4087.97	4080.09	4084.25	2348	0	58
2026.07.12	22:30:00	4084.25	4086.48	4077.99	4078.34	2052	0	58
2026.07.12	22:45:00	4078.31	4080.87	4070.73	4076.52	2955	0	58
2026.07.12	23:00:00	4076.52	4076.52	4068.31	4070.06	3221	0	58
2026.07.12	23:15:00	4070.06	4075.01	4068.67	4074.62	2289	0	58
2026.07.12	23:30:00	4074.62	4079.16	4071.72	4077.76	2160	0	15
2026.07.12	23:45:00	4077.76	4084.88	4075.57	4084.44	4896	0	15
2026.07.13	00:00:00	4084.60	4091.14	4080.72	4086.82	5037	0	15
2026.07.13	00:15:00	4086.83	4087.88	4074.21	4074.71	4468	0	15
2026.07.13	00:30:00	4074.70	4075.58	4060.98	4073.22	4391	0	15
2026.07.13	00:45:00	4073.20	4077.23	4068.71	4073.99	4082	0	15
2026.07.13	01:00:00	4074.05	4081.08	4065.65	4079.47	5979	0	15
2026.07.13	01:15:00	4079.47	4081.80	4071.23	4079.88	5892	0	15
2026.07.13	01:30:00	4079.85	4089.89	4077.69	4084.50	5285	0	15
2026.07.13	01:45:00	4084.50	4088.07	4067.71	4072.31	5660	0	15
2026.07.13	02:00:00	4072.65	4075.11	4070.06	4072.21	4916	0	15
2026.07.13	02:15:00	4072.30	4074.34	4066.51	4067.37	4060	0	15
2026.07.13	02:30:00	4067.36	4077.45	4064.72	4072.80	4621	0	15
2026.07.13	02:45:00	4072.82	4073.04	4068.47	4068.62	3979	0	15
2026.07.13	03:00:00	4068.66	4069.29	4053.06	4058.24	4519	0	15
2026.07.13	03:15:00	4058.24	4062.42	4058.12	4061.75	3665	0	15
2026.07.13	03:30:00	4061.77	4062.43	4057.12	4058.09	3224	0	15
2026.07.13	03:45:00	4058.08	4061.12	4057.81	4060.59	2885	0	15
2026.07.13	04:00:00	4060.59	4060.60	4052.37	4054.63	3233	0	15
2026.07.13	04:15:00	4054.55	4057.88	4050.27	4055.43	2895	0	15
2026.07.13	04:30:00	4055.43	4057.83	4053.24	4054.28	2218	0	15
2026.07.13	04:45:00	4054.28	4059.26	4052.75	4058.92	2109	0	15
2026.07.13	05:00:00	4058.88	4073.05	4054.92	4069.50	3990	0	15
2026.07.13	05:15:00	4069.48	4069.52	4057.56	4058.24	3539	0	15
2026.07.13	05:30:00	4058.08	4065.81	4052.18	4063.66	4791	0	15
2026.07.13	05:45:00	4063.66	4064.20	4052.74	4053.68	4260	0	15
2026.07.13	06:00:00	4053.68	4056.19	4043.84	4050.88	4621	0	15
2026.07.13	06:15:00	4050.93	4061.46	4050.61	4061.22	3964	0	15
2026.07.13	06:30:00	4061.26	4063.64	4058.60	4060.14	3887	0	15
2026.07.13	06:45:00	4060.14	4060.50	4051.75	4055.73	3358	0	15
2026.07.13	07:00:00	4055.66	4061.13	4049.01	4055.57	3894	0	15
2026.07.13	07:15:00	4055.55	4059.43	4055.55	4058.92	2707	0	15
2026.07.13	07:30:00	4058.92	4062.96	4056.32	4057.40	3298	0	15
2026.07.13	07:45:00	4057.47	4065.19	4055.98	4064.87	3202	0	15
2026.07.13	08:00:00	4064.87	4074.95	4063.08	4073.93	4672	0	15
2026.07.13	08:15:00	4073.93	4080.66	4073.60	4074.16	4341	0	15
2026.07.13	08:30:00	4074.16	4076.38	4071.90	4075.65	3310	0	15
2026.07.13	08:45:00	4075.62	4078.55	4072.04	4074.60	3046	0	15
2026.07.13	09:00:00	4074.60	4076.21	4072.80	4074.72	2829	0	15
2026.07.13	09:15:00	4074.57	4076.64	4071.37	4072.65	2799	0	15
2026.07.13	09:30:00	4072.56	4073.95	4069.46	4072.73	2829	0	15
2026.07.13	09:45:00	4072.73	4073.74	4068.18	4068.28	2401	0	15
2026.07.13	10:00:00	4068.12	4070.61	4066.77	4067.73	2610	0	15
2026.07.13	10:15:00	4067.72	4069.51	4064.50	4065.20	2180	0	15
2026.07.13	10:30:00	4065.21	4068.30	4046.83	4052.36	2909	0	15
2026.07.13	10:45:00	4052.17	4061.66	4048.07	4060.69	3707	0	15
2026.07.13	11:00:00	4060.69	4068.11	4057.97	4064.23	3664	0	15
2026.07.13	11:15:00	4064.19	4065.22	4058.23	4062.96	3063	0	15
2026.07.13	11:30:00	4062.77	4068.28	4062.09	4065.41	3277	0	15
2026.07.13	11:45:00	4065.41	4065.97	4054.93	4056.46	3392	0	15
2026.07.13	12:00:00	4056.49	4060.43	4053.63	4056.44	3683	0	15
2026.07.13	12:15:00	4056.42	4063.61	4055.30	4058.92	3703	0	15
2026.07.13	12:30:00	4058.92	4064.13	4058.32	4062.93	3610	0	15
2026.07.13	12:45:00	4063.05	4067.43	4063.01	4067.37	3375	0	15
2026.07.13	13:00:00	4067.42	4067.61	4059.32	4061.96	4540	0	15
2026.07.13	13:15:00	4061.90	4066.01	4058.69	4062.19	4067	0	15
2026.07.13	13:30:00	4062.21	4063.99	4051.52	4054.95	6111	0	15
2026.07.13	13:45:00	4054.99	4058.30	4042.15	4043.30	6419	0	15
2026.07.13	14:00:00	4043.33	4046.94	4029.74	4035.99	6208	0	15
2026.07.13	14:15:00	4035.99	4037.36	4002.83	4016.78	7144	0	15
2026.07.13	14:30:00	4016.47	4016.95	4000.33	4005.51	6354	0	15
2026.07.13	14:45:00	4005.53	4015.35	4002.02	4015.26	5778	0	15
2026.07.13	15:00:00	4015.28	4017.67	4010.98	4014.81	5244	0	15
2026.07.13	15:15:00	4014.79	4020.27	4013.05	4016.52	5316	0	15
2026.07.13	15:30:00	4016.61	4017.71	4012.38	4013.48	4175	0	15
2026.07.13	15:45:00	4013.48	4015.14	4010.28	4014.99	4567	0	15
2026.07.13	16:00:00	4015.94	4017.94	4012.65	4014.08	3930	0	15
2026.07.13	16:15:00	4014.08	4014.11	4000.65	4004.02	4781	0	15
2026.07.13	16:30:00	4004.04	4005.00	3990.98	4000.79	6655	0	15
2026.07.13	16:45:00	4000.79	4002.85	3986.59	3993.46	5486	0	15
2026.07.13	17:00:00	3993.52	3998.94	3992.25	3997.63	4873	0	15
2026.07.13	17:15:00	3997.63	4001.85	3996.69	3998.96	4263	0	15
2026.07.13	17:30:00	3999.00	4000.87	3996.25	3997.03	4271	0	15
2026.07.13	17:45:00	3997.03	3999.45	3992.14	3993.24	4418	0	15
2026.07.13	18:00:00	3993.24	3995.13	3990.09	3993.84	4756	0	15
2026.07.13	18:15:00	3993.84	3996.84	3986.83	3995.21	4469	0	15
2026.07.13	18:30:00	3995.27	4000.73	3994.02	4000.11	3982	0	15
2026.07.13	18:45:00	4000.11	4005.16	3998.25	4001.47	3834	0	15
2026.07.13	19:00:00	4001.55	4004.57	3997.90	3998.11	4021	0	15
2026.07.13	19:15:00	3998.13	4000.92	3996.74	3998.41	3648	0	15
2026.07.13	19:30:00	3998.33	4001.14	3993.51	3999.19	3832	0	15
2026.07.13	19:45:00	3999.08	4002.39	3996.95	4002.03	3850	0	15
2026.07.13	20:00:00	4002.01	4006.08	3998.21	3998.66	2139	0	15
